Date,Returns,Unemployment Rate,Inflation Rate,Misery Index,local_price,Bullish,Neutral,Bearish
2015-02-12,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.12692245928288282,0.2365882319937409,-0.3730446100323226
2015-02-13,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.12692245928288282,0.2365882319937409,-0.3730446100323226
2015-02-14,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.12692245928288282,0.2365882319937409,-0.3730446100323226
2015-02-15,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.12692245928288282,0.2365882319937409,-0.3730446100323226
2015-02-16,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.12692245928288282,0.2365882319937409,-0.3730446100323226
2015-02-17,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.12692245928288282,0.2365882319937409,-0.3730446100323226
2015-02-18,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.12692245928288282,0.2365882319937409,-0.3730446100323226
2015-02-19,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.17549749999999986,-0.11526488388565259,-0.12038134780277354
2015-02-20,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.17549749999999986,-0.11526488388565259,-0.12038134780277354
2015-02-21,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.17549749999999986,-0.11526488388565259,-0.12038134780277354
2015-02-22,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.17549749999999986,-0.11526488388565259,-0.12038134780277354
2015-02-23,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.17549749999999986,-0.11526488388565259,-0.12038134780277354
2015-02-24,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.17549749999999986,-0.11526488388565259,-0.12038134780277354
2015-02-25,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.17549749999999986,-0.11526488388565259,-0.12038134780277354
2015-02-26,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,-0.035023468786620104,-0.021963400979506775,0.13521207104827537
2015-02-27,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,-0.035023468786620104,-0.021963400979506775,0.13521207104827537
2015-02-28,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.035023468786620104,-0.021963400979506775,0.13521207104827537
2015-03-01,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.035023468786620104,-0.021963400979506775,0.13521207104827537
2015-03-02,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.035023468786620104,-0.021963400979506775,0.13521207104827537
2015-03-03,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.035023468786620104,-0.021963400979506775,0.13521207104827537
2015-03-04,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.035023468786620104,-0.021963400979506775,0.13521207104827537
2015-03-05,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.12277098104383433,0.07322508476946199,0.1505924083060326
2015-03-06,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.12277098104383433,0.07322508476946199,0.1505924083060326
2015-03-07,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.12277098104383433,0.07322508476946199,0.1505924083060326
2015-03-08,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.12277098104383433,0.07322508476946199,0.1505924083060326
2015-03-09,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.12277098104383433,0.07322508476946199,0.1505924083060326
2015-03-10,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.12277098104383433,0.07322508476946199,0.1505924083060326
2015-03-11,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.12277098104383433,0.07322508476946199,0.1505924083060326
2015-03-12,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.20617999829156886,0.1670534524362075,0.08785586141047208
2015-03-13,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.20617999829156886,0.1670534524362075,0.08785586141047208
2015-03-14,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.20617999829156886,0.1670534524362075,0.08785586141047208
2015-03-15,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.20617999829156886,0.1670534524362075,0.08785586141047208
2015-03-16,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.20617999829156886,0.1670534524362075,0.08785586141047208
2015-03-17,-0.9353178446598107,-0.03508771929824561,-0.6666666666666667,-0.024955436720142665,-0.0010427528675703845,-0.20617999829156886,0.1670534524362075,0.08785586141047208
