Date,EMA12_pctchg,RSI,Pct_Chg,MACD_sentiment,Upper_BB_pctchg,Lower_BB_pctchg,EMA_sentiment,Volume_sentiment,bull_target,bear_target
2019-08-23,2.1715952844127013,39.34793718078502,-2.539209438911183,1,8.349687198512603,2.111911263176906,0,0,1,0
2019-08-26,1.046599935960717,42.45474097740932,0.9578543921305638,1,6.656195907156445,2.941656505693065,0,1,1,0
2019-08-27,1.3975424478389222,41.01413699185112,-0.6072100383141765,1,6.320287775722343,2.1090892127164063,0,1,1,0
2019-08-28,0.41829235753386057,44.0645592643336,0.9163794052087448,1,4.4222355573092775,2.556642581696098,0,0,1,0
2019-08-29,0.9197578302968576,48.793352667315084,1.5134302455983795,0,2.495942791664493,3.874697480677164,0,0,1,0
2019-08-30,1.0626490437038818,49.81611435918537,0.3354459666187637,0,1.6556825833364548,3.9190186623513785,0,1,1,0
2019-09-03,0.009709261997817959,46.70651358775631,-1.0401214184693863,0,2.6705740846262103,2.8450731518470085,0,0,1,0
2019-09-04,0.8328591802347008,49.82267636850267,0.975976857502725,0,1.60080918341819,3.7993749202101785,0,1,1,0
2019-09-05,2.438335797854813,55.69430576337977,2.044613948731455,0,0.042092281163139456,6.142583578437408,0,0,1,0
2019-09-06,2.0241526305317294,55.567633184489594,-0.03643070529650849,0,0.22662234859927408,6.197405331660129,0,1,1,0
2019-09-09,3.017447810143355,59.69293429247488,1.5306124931472098,0,0.6846886875720851,8.238495222393963,1,0,1,0
2019-09-10,2.8512430637786452,60.62549799328561,0.3589320600514867,0,0.2640469495858853,8.986153837483311,1,0,1,0
2019-09-11,2.89528800901707,62.12765096930791,0.5722523605145469,0,0.09027809680798453,10.014091318852373,1,1,1,0
2019-09-12,2.8989278543563803,63.52536608687619,0.5334267925091618,0,0.09706152142853633,10.487807655104223,1,0,0,1
2019-09-13,3.1127938098798,65.52475889536798,0.7782076752463452,0,0.11446729364378277,11.291881127293635,1,0,0,1
2019-09-16,2.317846617161298,63.8209762817556,-0.351001692780295,0,1.1093672402600085,10.91785267475927,1,1,0,1
2019-09-17,2.045110450771994,64.12085359717918,0.10567343180869493,0,1.5877868919515532,11.087351749499835,1,1,0,1
2019-09-18,2.0268034083409847,65.15241052030282,0.35186622519800537,0,1.7784883887271448,11.277627306040857,1,0,0,1
2019-09-19,1.3183052958445454,62.643775350496234,-0.455824214686662,0,2.612731939481231,10.495530844528155,1,1,0,1
2019-09-20,0.1793078435836696,57.033145816394324,-1.0919319218281265,0,3.877398793845787,8.99644656267333,1,0,0,1
2019-09-23,0.3024918413830542,57.68802713350082,0.17805996152562287,0,3.6840066310506687,8.308728689421699,1,1,0,1
2019-09-24,0.5592290866636987,53.013113097858394,-0.9598242391404388,0,4.508568968973253,6.524506834507898,1,0,0,1
2019-09-25,0.22135683664784556,56.24907877823457,0.8255546920227674,1,3.5056049148084703,6.367265435518542,1,1,0,1
2019-09-26,0.2052431091329209,53.99701761788268,-0.46280194876844316,1,3.701463016243071,4.965621975314943,1,0,0,1
2019-09-27,0.15849882251202363,55.60832249277167,0.39342136607096734,1,3.2141272910687175,4.762909394366899,1,0,0,1
2019-09-30,0.07724092271529462,54.31130379551866,-0.24937547411917338,1,3.3010861359331947,3.903266886350924,1,1,0,1
2019-10-01,1.8531711278131975,44.8619197979255,-2.1071434020996094,1,4.917923111051178,0.9454664716654636,1,1,1,0
2019-10-02,3.284259611012202,38.1176082507267,-2.043048044727569,1,6.897293470423829,1.0571612288673196,1,0,1,0
2019-10-03,2.4546289504084626,40.01545996826732,0.4096785900935984,1,6.723796660870121,0.2353331884737317,0,0,1,0
2019-10-04,0.546780207120341,47.81058801381106,1.8545994695080337,1,4.9896058923050575,1.602475111693256,0,1,1,0
